术语,释义
诺迦草皮,疑为“商诺迦缚娑”所披之草衣或坐具，或指其苦行所用之物。
佛院,寺院中专用于供佛或修行的院落。
大神王像,指护法神或天神（如药叉、那罗延天）的威猛形像。
观自在菩萨像,即观音菩萨像，梵语 Avalokiteśvara，以慈悲救苦著称。
曷逻怙罗僧伽蓝,曷逻怙罗所建或相关的寺院名，见于《大唐西域记》。
𫀬那天神,即“毘那天神”或“韦驮天”之类护法神，音译存疑，或为 Skanda（塞建陀）。
阿罗汉,梵语 arhat，已断尽烦恼、解脱生死的圣者。
龙王,佛教护法神之一，掌管水域，如难陀龙王、阿耨达龙王等。
沙弥,未受具足戒的男性出家少年，年龄通常7–20岁。
婆罗门,印度四种姓之首，祭司阶层，佛教中常指外道修行者。
释迦菩萨弱龄龀齿,指释迦牟尼未成佛前为菩萨时，幼年换齿的圣迹。
顶骨伽蓝,供奉佛陀顶骨舍利的寺院。
旧王妃伽细,可能指某国王妃出家后所建或相关的寺院。
如来顶骨,佛陀头骨舍利，为重要圣物，曾供于那揭罗曷国等地。
象坚窣堵波,与“象坚”（或象力）相关之佛塔，可能纪念某本生故事或圣迹。
鞞铎佉,梵语 Vetāla 或 Vaitālika，可能指夜叉、鬼神名，或地名，待考。
释迦菩萨,指释迦牟尼未成佛前的菩萨阶段。
然灯佛,过去佛，曾为释迦菩萨授记，预言其未来成佛。
瞿波罗龙,守护佛法的龙王名，曾供养佛陀或护持经典。
袈裟,比丘所穿染坏色（非正色）之衣，象征离欲。
髑髅骨,人头骨，佛教中或用于无常观想，或指某圣者遗骨。
七宝小窣堵波,以金、银、琉璃等七宝装饰的小型佛塔。
那罗延天,印度教大力神，佛教吸收为护法神，具金刚力。
无著菩萨,公元4–5世纪印度大乘瑜伽行派创始人，著《摄大乘论》等。
世亲菩萨,无著之弟，初习小乘，后弘大乘，著《俱舍论》《唯识二十论》等。
法救,说一切有部论师，参与《大毗婆沙论》编纂。
如意,1. 法器，象征吉祥；2. 高僧名（如如意尊者）；此处或指法器。
胁尊,即胁尊者（Pārśva），禅宗西天第九祖，以苦行著称。
阿难,佛陀堂弟，多闻第一，侍佛二十五年，结集经藏。
迦腻色迦王伽蓝,贵霜帝国迦腻色迦王所建寺院，推动第四次结集。
波栗湿缚尊者室,即世亲（Vasubandhu）尊者之居所或纪念堂。
胁尊者室,胁尊者修行或居住之所。
《阿毗达磨俱舍论》,世亲所著小乘论典，系统阐述说一切有部教义。
世亲菩萨,同上。
涅槃,梵语 nirvāṇa，意为熄灭烦恼、超越生死轮回的究竟境界。
伐苏蜜呾罗论师,即 Vasumitra，说一切有部重要论师，参与《大毗婆沙论》。
《众事分阿毗达磨论》,小乘阿毗达磨论书，分类解说诸法。
达磨呾逻多论师,即 Dharmatrāta，说一切有部论师，著《杂阿毗昙心论》。
《杂阿毗达磨论》,小乘论书，内容杂集诸法分析。
千生舍眼,本生故事，指菩萨于多生中布施眼睛以修波罗蜜。
梵王,即大梵天王（Brahmā），佛教护法神，居色界初禅天。
天帝,即帝释天（Śakra），忉利天主，佛教重要护法。
商莫迦菩萨,疑为 Samantabhadra（普贤菩萨）之异译，或为其他菩萨名。
伊湿伐逻论师,即 Īśvarasena，世亲之师，瑜伽行派先驱。
《阿毗达磨明灯论》,小乘或大乘阿毗达磨注释书，作者待考。
大自在天妇像,即雪山神女（Umā）或迦梨女神像，大自在天（湿婆）之配偶。
毗摩天女,疑为 Vimalā 或 Vidyādhara 女神，或指辩才天女（Sarasvatī）。
毗摩天祠,供奉毗摩天女的外道祠庙。
波你尼仙,古印度文法学家 Pāṇini，著《八章书》（Aṣṭādhyāyī）。
《声明论》,梵语 Vyākaraṇa，指语言学、文法著作，如波你尼之书。
《毗婆沙论》,即《大毗婆沙论》，说一切有部巨著，五百罗汉所造。
《阿毗达磨藏》,论藏，三藏之一，专述诸法名相与义理。
迦叶波佛,过去七佛之一，即迦叶佛（Kāśyapa Buddha）。
摩诃伐那伽蓝,“大林寺”或“大森林寺”，西域或印度某寺院名。
摩愉伽蓝,音译寺院名，具体地点待考。
萨裒杀地僧伽蓝,梵语音译寺院名，见于《大唐西域记》。
卢醯呾迦窣堵波,某佛塔名，可能与罗睺罗或某圣迹相关。
药叉,梵语 yakṣa，半神类，或善或恶，佛教中多为护法。
遏部多石窣堵波,供奉“遏部多”（Abhūta，意为“未曾有”）舍利或圣物之石塔。
阿缚卢枳低湿伐罗菩萨像,即观自在菩萨（Avalokiteśvara）像的全音译。
阿波逻罗龙,龙王名，曾护持佛法或供养佛陀。
娑罗树,佛陀涅槃处之双树，学名 Shorea robusta，象征无常。
慈氏菩萨,即弥勒菩萨（Maitreya），未来佛。
末田底迦阿罗汉,阿难弟子，传法至罽宾，为西方初祖。
医罗钵呾罗,梵语 Elapattra，龙王名，或指其居所。
沙门,梵语 śramaṇa，泛指出家修行者，尤指佛教僧侣。
经部拘摩罗逻多论师,即 Kumāralāta，经量部创始人，著《喻鬘论》。
菩提树伽蓝,以菩提树为中心的寺院，如摩揭陀国的摩诃菩提寺。
瞿沙大阿罗汉,即 Ghoṣa，说一切有部论师。
白衣外道本师,指在家外道领袖，如耆那教或顺世派导师。
末田底迦罗汉,同“末田底迦阿罗汉”。
末田底迦,同上。
讫利多,梵语 Kṛta，或为人名、地名，待考。
摩诃提婆,梵语 Mahādeva，或指大天比丘（大众部始祖），或湿婆别名。
凡夫僧,未证圣果的普通僧人。
罗汉僧,已证阿罗汉果的圣僧。
《毗婆沙论》,同上，指《大毗婆沙论》。
《邬波第铄论》,即《优波提舍》（Upadeśa），论议类注释书。
《素呾缆藏》,即经藏（Sūtra Piṭaka），三藏之一，佛陀所说教法。
《毗奈耶毗婆沙论》,律藏的注释论书。
《毗奈耶藏》,即律藏（Vinaya Piṭaka），三藏之一，规范僧团戒律。
《阿毗达磨毗婆沙论》,同《大毗婆沙论》。
《阿毗达磨藏》,同上。
《阿毗昙藏》,“阿毗达磨藏”的旧译。
伽跋陁罗论师,即 Sthiramati 或其他论师，待考。
《顺正理论》,众贤（Saṃghabhadra）所著，反驳《俱舍论》之作。
索建地罗大论师,即 Vasubandhu（世亲）之别译，或另一论师。
《众事分毗婆沙论》,《毗婆沙论》的节要或分类本。
布剌拿论师,即 Pūrṇa，早期佛教长老，或另一论师。
《释毗婆沙论》,对《毗婆沙论》的注释书。
商林伽蓝,寺院名，可能位于森林中。
佛地罗论师,待考，或为 Buddhasena 等音译。
《大众部集真论》,大众部所传论书，内容待考。
《胜义谛论》,探讨胜义谛（究竟真理）的论著，作者待考。
荅秣苏伐那僧伽蓝,音译寺院名，见于《大唐西域记》。
迦多衍那论师,即 Katyāyana，佛陀十大弟子之一，或后世同名论师。
《发智论》,说一切有部根本论书，迦多衍尼子造。
暗林伽蓝,寺院名，意为“幽暗森林中的寺院”。
舍利子,即舍利弗（Śāriputra），佛陀十大弟子中智慧第一。
没特伽罗子,即目犍连（Maudgalyāyana），佛陀弟子，神通第一。
布剌拿梅呾丽衍尼弗呾罗,即 Pūrṇa Maitrāyaṇīputra，佛陀弟子，说法第一。
邬波厘,即优婆离（Upāli），持律第一，结集律藏。
阿难陁,即阿难（Ānanda）。
罗怙罗,佛陀之子，密行第一。
曼殊室利,即文殊师利菩萨（Mañjuśrī），智慧第一。
邬波毱多,即 Upagupta，阿育王时代著名阿罗汉。
如来指爪,佛陀手指甲或脚趾甲舍利，作为圣物供奉。
没特伽罗子,同“目犍连”。
俱昏荼僧伽蓝,音译寺院名。
没特伽罗,同“目犍连”。
发、爪,佛陀头发与指甲，作为舍利供奉。
提婆菩萨,即圣天（Āryadeva），龙树弟子，中观派论师。
《辩真》,可能指《四百论》或《中论》类著作，待考。
瞿拿钵剌婆论师,即 Guṇabhadra，译经师或论师。
提婆犀那罗汉,即 Devaśarman，阿罗汉名。
德光伽蓝,以德光论师命名的寺院。
《阿毗达磨俱舍论》,同上。
《俱舍雹论》,对《俱舍论》的批判或注释书，作者待考。
毗末罗蜜多罗论师,即 Vimālamitra，论师名。
《蕴界外经》,小乘经，解说五蕴、十八界等。
大自在天,即湿婆（Śiva），印度教主神，佛教视为护法或外道神。
大自在,同“大自在天”。
大树仙人,古印度苦行仙人，曾诅咒或祝福国王。
饿鬼,六道之一，常受饥渴苦的众生。
伐苏畔度菩萨,即 Vasubandhu（世亲）之异译。
俊彦,才德出众之人，此处或指高僧。
经部室利逻多论师,即 Śrīlāta，经量部论师，世亲之师。
《毗婆沙论》,重复项。
阿僧伽菩萨,即无著（Asaṅga）。
无著菩萨,同上。
慈氏菩萨,同“弥勒菩萨”。
《瑜伽师地论》,弥勒说、无著记，瑜伽行派根本论典。
《庄严大乘经论》,无著造，阐释大乘菩萨行。
《中边分别论》,弥勒造、无著释，论述中道与边见。
宝坛,供奉佛像或舍利的庄严台座。
佛陁僧诃,即 Buddhaghosa（觉音），南传佛教论师。
《十地经》,讲述菩萨十地修行的经典，即《华严经·十地品》。
《大毗婆沙论》,同《毗婆沙论》。
佛陀驮娑论师,即 Buddhadeva，说一切有部论师。
《广百论》,提婆造，破斥外道的中观论著。
提婆菩萨,重复项。
具史罗长者,给孤独长者（Anāthapiṇḍika）之异译，祇园精舍施主。
《唯识论》,泛指瑜伽行派唯识思想论典，如《唯识二十论》。
《显扬圣教论》,无著造，显扬《瑜伽师地论》要义。
毒龙石窟,传说有毒龙居住的石窟，后被高僧降伏（如佛陀或罗汉）。
提婆设摩阿罗汉,即 Devaśarman，阿罗汉名。
《识身论》,提婆设摩造，说一切有部论书。
瞿波阿罗汉,即 Gopaka，阿罗汉名。
《圣教要实论》,论书名，内容待考。
鸯窭利摩罗,即央掘魔罗（Aṅgulimāla），原为杀人魔，后皈依成阿罗汉。
善施长者,即须达多（Sudatta），给孤独长者别名。
苾刍,比丘（bhikṣu）的旧译，指出家受具足戒男众。
没特伽罗,重复项。
提婆达多,佛陀堂弟，后叛佛，被视为破僧者。
摩诃摩耶夫人,佛陀生母，摩耶夫人。
阿私多仙,预言悉达多太子将成佛的仙人。
上座部菩萨,上座部传统中承认的菩萨（如释迦菩萨），但不强调菩萨道。
罗怙罗像,罗睺罗尊者的造像。
耶输陁罗,佛陀妻子，罗睺罗之母。
素叶水城,即碎叶城（Suyab），唐代西域重镇，玄奘曾至此。
素叶城,同“素叶水城”。
呾逻私城,即塔拉斯（Talas），中亚古城。
呾逻私,同上。
小孤城,西域小城，具体位置待考。
白水城,中亚古城，在今乌兹别克斯坦。
恭御城,西域城名，见于《大唐西域记》。
提谓城,与波利城并提，传说为最早供养佛陀的商人所在。
波利城,同上。
霫蔽多伐剌祠城,供奉外道神“蔽多伐剌”的城邑。
醯罗城,中印度城名，近王舍城。
布路沙布逻,即 Puruṣapura，今巴基斯坦白沙瓦，贵霜都城。
布色羯逻伐底城,即 Pushkalāvatī，古 Gandhāra 国都。
跋虏沙城,音译城名，待考。
乌铎迦汉荼城,即 Udyāna 或 Uḍḍiyāna，乌仗那国都城。
娑罗睹逻邑,城邑名，待考。
瞢揭厘城,即 Manglaur，北印度古城。
拘尸城,即拘尸那揭罗（Kuśinagara），佛陀涅槃地。
乌铎迦汉荼城,重复项。
奢羯罗故城,即 Śākala，今巴基斯坦锡亚尔科特。
摩裕罗城,即 Mathurā，秣菟罗，北印度佛教中心。
拘苏磨补逻,即 Kausāmbī，古印度十六大国之一。
曲女城,即 Kanauj，戒日王朝都城。
纳缚提婆矩罗城,即 Navadevakula，中印度城名。
迦奢布罗城,即 Kāśyapapura，城名待考。
无遮大会,不分贵贱、僧俗、道派皆可参与的平等布施法会。
迦腻色迦王,贵霜帝国君主，支持佛教，召开第四次结集。
质子,作为人质的王子，如西域诸国送子至唐为质。
曷逻怙罗,迦腻色迦王之子，建曷逻怙罗寺。
无忧王,即阿育王（Aśoka），孔雀王朝君主，大力弘法。
苏达拿太子,须大拏太子（Vessantara），本生故事中布施一切的菩萨。
毗卢择迦王,即频婆娑罗王（Bimbisāra），摩揭陀国王，佛陀护法。
嗢呾罗犀那王,即 Udayana，优填王，曾造佛陀雕像。
旃荼罗,即贱民（Caṇḍāla），印度种姓制度最底层。
摩诃萨埵王子,舍身饲虎本生故事中的菩萨。
呬摩呾罗王,即 Hemendra，国王名，待考。
摩醯逻矩罗,即 Mihirakula，嚈哒（白匈奴）暴君，毁佛。
婆罗阿迭多王,即 Balāditya，北印度国王，抵抗摩醯逻矩罗。
幼日王,即 Kumāragupta，笈多王朝君主。
大族王,即 Mahāsena，斯里兰卡国王。
迦湿弥罗王,迦湿弥罗（克什米尔）地区的国王。
乐善诸王,泛指护持佛法的贤明君主。
福舍,免费提供食宿的慈善机构，源于佛教“无尽藏”。
苏部底,可能为人名或地名，待考。
梵授,国王名，本生故事中人物。
戒日王,即曷利沙伐弹那（Harṣavardhana），7世纪北印度帝王，玄奘访印时君主。
曷利沙伐弹那,同“戒日王”。
波罗羯罗伐弹那,戒日王之兄。
曷逻阇伐弹那,戒日王之父。
赏迦王,即 Śaśāṅka，孟加拉国王，曾毁佛迹。
婆尼,可能为“波腻”或“婆罗门”之误，待考。
尸罗阿迭多,即 Śīlāditya，戒日王别名或另一国王。
拘摩罗王,即 Kumāra，国王名。
弥沙塞部,即化地部（Mahīśāsaka），小乘部派之一。
灵利见,可能为“灵裕”或误写，待考。
邬陀衍那王,即 Udayana，同“嗢呾罗犀那王”。
钵逻犀那恃多王,即 Prasenajit，波斯匿王，舍卫国君。
胜军王,即 Jayasena，国王名，或指辩论胜者。
斛饭王,佛陀叔父，提婆达多之父。
战遮婆罗门女,诬陷佛陀的婆罗门女子，后忏悔。
毗卢择迦王,重复项。
至那仆底,即 Chinabhukti，“支那封地”，北印度古国，传为秦人所建。
至那你,同“至那仆底”。
那罗阇弗呾逻,即 Nalajvardhana，城名或王名，待考。
